VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility
WBY8P8C58K,Thurston,Yelm,WA,98597,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,2,152371607,POINT (-122.61022999999994 46.94126000000006),PUGET SOUND ENERGY INC
5YJSA1E28H,Snohomish,Edmonds,WA,98026,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,21,204828767,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC
3FA6P0SU6G,Kittitas,Easton,WA,98925,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,13,281104526,POINT (-121.17616319999996 47.24106000000006),PUGET SOUND ENERGY INC
5YJXCAE2XH,King,Redmond,WA,98052,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,45,348521414,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1N4AZ0CP5F,King,Des Moines,WA,98198,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,33,274994625,POINT (-122.3219166 47.4013897),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGAEE0N,Thurston,Olympia,WA,98506,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,213384930,POINT (-122.88747809999995 47.051957300000026),PUGET SOUND ENERGY INC
1N4AZ1CP8K,Kitsap,Bremerton,WA,98312,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,100996969,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC
1N4AZ1CP8L,Snohomish,Bothell,WA,98012,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,1,141331130,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC
1FADP5CU3G,Yakima,Toppenish,WA,98948,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,117467724,POINT (-120.31286999999998 46.37534000000005),PACIFICORP
5YJSA1E17F,Snohomish,Bothell,WA,98012,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,21,216917571,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC
WP1AE2AYXP,Kitsap,Poulsbo,WA,98370,2023,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,23,228905757,POINT (-122.64176999999995 47.73752500000006),PUGET SOUND ENERGY INC
1G1FZ6S02K,King,Bellevue,WA,98006,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,41,342998925,POINT (-122.16936999999996 47.571015000000045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4JJXP66P,Thurston,Olympia,WA,98501,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,220675367,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC
7SAYGAEEXP,Snohomish,Lake Stevens,WA,98258,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,223936884,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC
KNAGV4LD8H,Snohomish,Mill Creek,WA,98012,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,44,241942410,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC
1G1RD6E41E,Kitsap,Suquamish,WA,98392,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,147814642,POINT (-122.55716999999999 47.733415000000036),PUGET SOUND ENERGY INC
5YJ3E1EA7N,Thurston,Yelm,WA,98597,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,214840384,POINT (-122.61022999999994 46.94126000000006),PUGET SOUND ENERGY INC
WBY1Z8C39H,Thurston,Olympia,WA,98501,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,22,148877011,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC
JTDKARFP0K,Kitsap,Poulsbo,WA,98370,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,478390188,POINT (-122.64176999999995 47.73752500000006),PUGET SOUND ENERGY INC
